Local Area,Clientele - Seniors,NonSeniors,Rented,Owned,SeniorsPerFSApercentage,CURRENT_HOUSE_PRICE
Arbutus-Ridge,46.54545454545455,75.95115077501174,9.3,44.0,28.0,3732646.524064171
Downtown,16.716517115320705,99.66757885320388,19.0,66.5,11.9,6502689.05755164
Dunbar-Southlands,0.0,100.0,3.7,42.2,19.1,3767743.8391368436
Fairview,14.6448087431694,99.07114090237968,9.6,54.2,20.3,2501869.0413368507
Grandview-Woodland,32.6278659611993,97.90931158716023,22.3,63.2,13.2,1387859.8956043955
Hastings-Sunrise,42.74120829576195,93.69357982477732,17.4,49.0,20.4,1549337.248504622
Kensington-Cedar Cottage,36.24242424242424,93.55395063059179,9.3,55.8,15.9,1411645.2791190173
Kerrisdale,0.0,100.0,2.4,37.8,21.6,2942700.3757828814
Killarney,13.66553416383541,99.40601821686342,29.3,53.7,20.200000000000006,2000768.0100671141
Kitsilano,37.6657824933687,92.58059459741888,6.3,53.0,15.5,2094399.14693354
Marpole,17.23122238586156,98.49011996448554,11.1,47.6,17.7,1810594.0446735397
Mount Pleasant,15.668202764976959,98.941100259119,9.0,73.2,9.5,1918589.492066561
Oakridge,38.21656050955414,88.39166521562481,15.7,37.2,26.9,3818827.3779983455
Renfrew-Collingwood,30.29612756264237,96.80520391446593,13.9,52.5,17.400000000000002,1567869.4809844957
Riley Park,39.66942148760331,78.63438084216149,6.8,51.2,16.7,1676938.6162904808
South Cambie,26.436781609195403,87.89728478215112,3.5,50.5,22.5,1904853.7433155081
Strathcona,29.37019330700478,99.14306912733386,61.3,66.7,26.1,1912623.726133076
Sunset,32.55813953488372,86.1782999308915,8.4,51.1,17.2,1914706.7179846046
Victoria-Fraserview,64.94427558257345,84.19633039284815,16.4,43.7,23.6,1626421.4645308924
West End,53.0316742081448,95.1393093837872,8.0,50.3,16.5,6144323.858839758
West Point Grey,73.52941176470588,49.47453516572352,13.6,38.6,21.6,3380791.317016317
