FSA,CURRENT_HOUSE_PRICE
V5K,1549337.2485046221
V5L,1387859.8956043955
V5M,1722735.2631578948
V5N,1411645.2791190173
V5P,1626421.4645308924
V5R,1413003.6988110964
V5S,2000768.0100671141
V5T,1353167.046275395
V5V,1676938.6162904808
V5W,1914706.7179846046
V5X,1810594.0446735395
V5Y,2484011.937857727
V5Z,1904853.7433155081
V6A,1912623.7261330762
V6B,1357675.833846154
V6C,16913422.222222224
V6E,1736090.516711834
V6G,2510202.6284348867
V6H,2501869.041336851
V6J,2153705.315068493
V6K,2035092.9787985866
V6L,3732646.524064171
V6M,3818827.3779983455
V6N,4063059.040322581
V6P,2942700.375782881
V6R,3380791.317016317
V6S,3472428.637951106
V6T,14186678.43137255
V6Z,1236969.1165865385
