FSA,CURRENT_HOUSE_PRICE,Local Area
V5K,1544191.36568849,Hastings-Sunrise
V5L,1407976.90627306,Grandview-Woodland
V5M,1723224.15458937,Renfrew-Collingwood
V5N,1429231.56622058,Kensington-Cedar Cottage
V5P,1606825.52986513,Victoria-Fraserview
V5R,1397419.14893617,Renfrew-Collingwood
V5S,1507936.49323131,Killarney
V5T,1364806.63589077,Mount Pleasant
V5V,1699817.86480687,Riley Park
V5W,1877551.54867257,Sunset
V5X,1804579.30736458,Oakridge
V5Y,2467725.44642857,Mount Pleasant
V5Z,1811263.03972366,South Cambie
V6A,1768233.30082988,Strathcona
V6B,1364577.13888889,Downtown
V6C,17185164.5833333,Downtown
V6E,1735049.95656109,West End
V6G,2487014.4638404,West End
V6H,2438984.406165,Fairview
V6J,2128008.16789563,Kitsilano
V6K,2034426.30068966,Kitsilano
V6L,3610833.17919075,Dunbar-Southlands
V6M,3600069.55736224,Arbutus-Ridge
V6N,3990546.01793722,Kerrisdale
V6P,2853514.41482151,Marpole
V6R,3290632.77674706,West Point Grey
V6S,3349613.36760925,Dunbar-Southlands
V6T,15267419.0476191,West End
V6Z,1135258.14439519,Downtown
